[i] Train : 19923
[i] Valid : 2213
[i] pred_bboxes_op : Tensor("SSD_Decode/concat:0", shape=(?, 22890, 4), dtype=float32)
[i] pred_classes_op : Tensor("SSD/Softmax:0", shape=(?, 22890, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 22890, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 22890, 21), dtype=float32)
[i] max_iteration : 62200
[i] decay_iteration : [31100 46650]
[i] iter : 3900, loss : 9.6044, focal_loss : 0.4302, giou_loss : 0.2471, l2_reg_loss : 8.9271, train_time : 73sec
[i] iter : 3950, loss : 9.5667, focal_loss : 0.4166, giou_loss : 0.2439, l2_reg_loss : 8.9062, train_time : 73sec
[i] iter : 4000, loss : 9.5409, focal_loss : 0.4155, giou_loss : 0.2400, l2_reg_loss : 8.8854, train_time : 74sec
[i] iter : 4050, loss : 9.5189, focal_loss : 0.4151, giou_loss : 0.2391, l2_reg_loss : 8.8647, train_time : 74sec
[i] iter : 4100, loss : 9.4958, focal_loss : 0.4113, giou_loss : 0.2407, l2_reg_loss : 8.8439, train_time : 73sec
[i] iter : 4150, loss : 9.4792, focal_loss : 0.4171, giou_loss : 0.2390, l2_reg_loss : 8.8231, train_time : 73sec
[i] iter : 4200, loss : 9.4345, focal_loss : 0.3978, giou_loss : 0.2343, l2_reg_loss : 8.8024, train_time : 75sec
[i] iter : 4250, loss : 9.4083, focal_loss : 0.3946, giou_loss : 0.2320, l2_reg_loss : 8.7817, train_time : 74sec
[i] iter : 4300, loss : 9.3932, focal_loss : 0.4012, giou_loss : 0.2310, l2_reg_loss : 8.7610, train_time : 74sec
[i] iter : 4350, loss : 9.3565, focal_loss : 0.3870, giou_loss : 0.2292, l2_reg_loss : 8.7404, train_time : 74sec
[i] iter : 4400, loss : 9.3483, focal_loss : 0.3981, giou_loss : 0.2304, l2_reg_loss : 8.7198, train_time : 74sec
[i] iter : 4450, loss : 9.3131, focal_loss : 0.3889, giou_loss : 0.2250, l2_reg_loss : 8.6992, train_time : 75sec
[i] iter : 4500, loss : 9.2927, focal_loss : 0.3882, giou_loss : 0.2256, l2_reg_loss : 8.6788, train_time : 75sec
[i] iter : 4550, loss : 9.2827, focal_loss : 0.4005, giou_loss : 0.2238, l2_reg_loss : 8.6585, train_time : 74sec
[i] iter : 4600, loss : 9.2654, focal_loss : 0.3997, giou_loss : 0.2276, l2_reg_loss : 8.6381, train_time : 74sec
[i] iter : 4650, loss : 9.2296, focal_loss : 0.3904, giou_loss : 0.2213, l2_reg_loss : 8.6179, train_time : 75sec
[i] iter : 4700, loss : 9.2174, focal_loss : 0.3977, giou_loss : 0.2220, l2_reg_loss : 8.5976, train_time : 75sec
[i] iter : 4750, loss : 9.1871, focal_loss : 0.3902, giou_loss : 0.2195, l2_reg_loss : 8.5774, train_time : 75sec
[i] iter : 4800, loss : 9.1713, focal_loss : 0.3957, giou_loss : 0.2182, l2_reg_loss : 8.5574, train_time : 75sec
[i] iter : 4850, loss : 9.1516, focal_loss : 0.3957, giou_loss : 0.2185, l2_reg_loss : 8.5373, train_time : 74sec
[i] iter : 4900, loss : 9.1055, focal_loss : 0.3770, giou_loss : 0.2112, l2_reg_loss : 8.5173, train_time : 75sec
[i] iter : 4950, loss : 9.0875, focal_loss : 0.3752, giou_loss : 0.2150, l2_reg_loss : 8.4973, train_time : 74sec
[i] iter : 5000, loss : 9.0771, focal_loss : 0.3850, giou_loss : 0.2149, l2_reg_loss : 8.4773, train_time : 74sec
[i] best precision : 75.48%
[i] best recall : 69.71%
[i] valid mAP : 72.60, best valid mAP : 72.60%
[i] iter : 5050, loss : 9.0650, focal_loss : 0.3894, giou_loss : 0.2180, l2_reg_loss : 8.4576, train_time : 222sec
[i] iter : 5100, loss : 9.0378, focal_loss : 0.3871, giou_loss : 0.2127, l2_reg_loss : 8.4379, train_time : 75sec
[i] iter : 5150, loss : 9.0222, focal_loss : 0.3890, giou_loss : 0.2150, l2_reg_loss : 8.4182, train_time : 76sec
[i] iter : 5200, loss : 8.9918, focal_loss : 0.3826, giou_loss : 0.2107, l2_reg_loss : 8.3984, train_time : 75sec
[i] iter : 5250, loss : 8.9802, focal_loss : 0.3882, giou_loss : 0.2132, l2_reg_loss : 8.3788, train_time : 75sec
[i] iter : 5300, loss : 8.9375, focal_loss : 0.3703, giou_loss : 0.2079, l2_reg_loss : 8.3593, train_time : 75sec
[i] iter : 5350, loss : 8.9324, focal_loss : 0.3815, giou_loss : 0.2111, l2_reg_loss : 8.3398, train_time : 76sec
[i] iter : 5400, loss : 8.8905, focal_loss : 0.3655, giou_loss : 0.2048, l2_reg_loss : 8.3203, train_time : 76sec
[i] iter : 5450, loss : 8.8654, focal_loss : 0.3603, giou_loss : 0.2042, l2_reg_loss : 8.3009, train_time : 75sec
[i] iter : 5500, loss : 8.8393, focal_loss : 0.3518, giou_loss : 0.2060, l2_reg_loss : 8.2814, train_time : 76sec
[i] iter : 5550, loss : 8.8341, focal_loss : 0.3643, giou_loss : 0.2077, l2_reg_loss : 8.2621, train_time : 74sec
[i] iter : 5600, loss : 8.8168, focal_loss : 0.3663, giou_loss : 0.2078, l2_reg_loss : 8.2427, train_time : 75sec
[i] iter : 5650, loss : 8.7872, focal_loss : 0.3582, giou_loss : 0.2056, l2_reg_loss : 8.2234, train_time : 75sec
[i] iter : 5700, loss : 8.7715, focal_loss : 0.3623, giou_loss : 0.2050, l2_reg_loss : 8.2041, train_time : 76sec
[i] iter : 5750, loss : 8.7285, focal_loss : 0.3426, giou_loss : 0.2010, l2_reg_loss : 8.1849, train_time : 75sec
[i] iter : 5800, loss : 8.7165, focal_loss : 0.3491, giou_loss : 0.2019, l2_reg_loss : 8.1656, train_time : 75sec
[i] iter : 5850, loss : 8.7240, focal_loss : 0.3729, giou_loss : 0.2047, l2_reg_loss : 8.1464, train_time : 75sec
[i] iter : 5900, loss : 8.6899, focal_loss : 0.3607, giou_loss : 0.2018, l2_reg_loss : 8.1274, train_time : 75sec
[i] iter : 5950, loss : 8.6738, focal_loss : 0.3601, giou_loss : 0.2053, l2_reg_loss : 8.1084, train_time : 75sec
[i] iter : 6000, loss : 8.6340, focal_loss : 0.3451, giou_loss : 0.1996, l2_reg_loss : 8.0893, train_time : 75sec
[i] iter : 6050, loss : 8.6718, focal_loss : 0.3938, giou_loss : 0.2075, l2_reg_loss : 8.0705, train_time : 76sec
[i] iter : 6100, loss : 8.6247, focal_loss : 0.3677, giou_loss : 0.2045, l2_reg_loss : 8.0524, train_time : 75sec
[i] iter : 6150, loss : 8.5847, focal_loss : 0.3498, giou_loss : 0.2011, l2_reg_loss : 8.0339, train_time : 74sec
[i] iter : 6200, loss : 8.5840, focal_loss : 0.3639, giou_loss : 0.2049, l2_reg_loss : 8.0153, train_time : 75sec
[i] iter : 6250, loss : 8.5432, focal_loss : 0.3490, giou_loss : 0.1974, l2_reg_loss : 7.9969, train_time : 75sec
[i] iter : 6300, loss : 8.5309, focal_loss : 0.3563, giou_loss : 0.1962, l2_reg_loss : 7.9784, train_time : 75sec
[i] iter : 6350, loss : 8.4897, focal_loss : 0.3353, giou_loss : 0.1944, l2_reg_loss : 7.9599, train_time : 75sec
[i] iter : 6400, loss : 8.4759, focal_loss : 0.3418, giou_loss : 0.1925, l2_reg_loss : 7.9415, train_time : 74sec
[i] iter : 6450, loss : 8.4679, focal_loss : 0.3479, giou_loss : 0.1968, l2_reg_loss : 7.9232, train_time : 75sec
[i] iter : 6500, loss : 8.4491, focal_loss : 0.3490, giou_loss : 0.1952, l2_reg_loss : 7.9049, train_time : 73sec
[i] iter : 6550, loss : 8.4118, focal_loss : 0.3350, giou_loss : 0.1902, l2_reg_loss : 7.8866, train_time : 74sec
[i] iter : 6600, loss : 8.4185, focal_loss : 0.3522, giou_loss : 0.1980, l2_reg_loss : 7.8683, train_time : 74sec
[i] iter : 6650, loss : 8.3660, focal_loss : 0.3270, giou_loss : 0.1889, l2_reg_loss : 7.8501, train_time : 74sec
[i] iter : 6700, loss : 8.3599, focal_loss : 0.3360, giou_loss : 0.1921, l2_reg_loss : 7.8318, train_time : 74sec
[i] iter : 6750, loss : 8.3452, focal_loss : 0.3393, giou_loss : 0.1922, l2_reg_loss : 7.8137, train_time : 73sec
[i] iter : 6800, loss : 8.3337, focal_loss : 0.3466, giou_loss : 0.1913, l2_reg_loss : 7.7958, train_time : 74sec
[i] iter : 6850, loss : 8.3016, focal_loss : 0.3330, giou_loss : 0.1909, l2_reg_loss : 7.7777, train_time : 73sec
[i] iter : 6900, loss : 8.2806, focal_loss : 0.3316, giou_loss : 0.1893, l2_reg_loss : 7.7596, train_time : 74sec
[i] iter : 6950, loss : 8.2486, focal_loss : 0.3194, giou_loss : 0.1876, l2_reg_loss : 7.7416, train_time : 73sec
[i] iter : 7000, loss : 8.2506, focal_loss : 0.3350, giou_loss : 0.1920, l2_reg_loss : 7.7236, train_time : 74sec
[i] iter : 7050, loss : 8.2177, focal_loss : 0.3248, giou_loss : 0.1873, l2_reg_loss : 7.7056, train_time : 73sec
[i] iter : 7100, loss : 8.2034, focal_loss : 0.3263, giou_loss : 0.1895, l2_reg_loss : 7.6876, train_time : 74sec
[i] iter : 7150, loss : 8.1872, focal_loss : 0.3290, giou_loss : 0.1886, l2_reg_loss : 7.6696, train_time : 74sec
[i] iter : 7200, loss : 8.1517, focal_loss : 0.3155, giou_loss : 0.1845, l2_reg_loss : 7.6517, train_time : 73sec
[i] iter : 7250, loss : 8.1346, focal_loss : 0.3161, giou_loss : 0.1846, l2_reg_loss : 7.6339, train_time : 74sec
[i] iter : 7300, loss : 8.1277, focal_loss : 0.3236, giou_loss : 0.1881, l2_reg_loss : 7.6160, train_time : 73sec
[i] iter : 7350, loss : 8.1046, focal_loss : 0.3220, giou_loss : 0.1842, l2_reg_loss : 7.5984, train_time : 74sec
[i] iter : 7400, loss : 8.1012, focal_loss : 0.3269, giou_loss : 0.1933, l2_reg_loss : 7.5810, train_time : 74sec
[i] iter : 7450, loss : 8.0534, focal_loss : 0.3070, giou_loss : 0.1830, l2_reg_loss : 7.5633, train_time : 74sec
[i] iter : 7500, loss : 8.0562, focal_loss : 0.3233, giou_loss : 0.1871, l2_reg_loss : 7.5457, train_time : 74sec
[i] iter : 7550, loss : 8.0310, focal_loss : 0.3159, giou_loss : 0.1870, l2_reg_loss : 7.5282, train_time : 74sec
[i] iter : 7600, loss : 8.0120, focal_loss : 0.3184, giou_loss : 0.1828, l2_reg_loss : 7.5107, train_time : 73sec
[i] iter : 7650, loss : 7.9892, focal_loss : 0.3122, giou_loss : 0.1839, l2_reg_loss : 7.4932, train_time : 73sec
[i] iter : 7700, loss : 7.9843, focal_loss : 0.3219, giou_loss : 0.1868, l2_reg_loss : 7.4756, train_time : 74sec
[i] iter : 7750, loss : 7.9649, focal_loss : 0.3193, giou_loss : 0.1875, l2_reg_loss : 7.4581, train_time : 74sec
[i] iter : 7800, loss : 7.9312, focal_loss : 0.3072, giou_loss : 0.1834, l2_reg_loss : 7.4407, train_time : 74sec
[i] iter : 7850, loss : 7.8920, focal_loss : 0.2914, giou_loss : 0.1774, l2_reg_loss : 7.4232, train_time : 73sec
[i] iter : 7900, loss : 7.8794, focal_loss : 0.2939, giou_loss : 0.1797, l2_reg_loss : 7.4058, train_time : 73sec
[i] iter : 7950, loss : 7.8877, focal_loss : 0.3144, giou_loss : 0.1844, l2_reg_loss : 7.3889, train_time : 73sec
[i] iter : 8000, loss : 7.8697, focal_loss : 0.3137, giou_loss : 0.1842, l2_reg_loss : 7.3718, train_time : 73sec
[i] iter : 8050, loss : 7.8628, focal_loss : 0.3228, giou_loss : 0.1851, l2_reg_loss : 7.3549, train_time : 73sec
[i] iter : 8100, loss : 7.8670, focal_loss : 0.3370, giou_loss : 0.1920, l2_reg_loss : 7.3380, train_time : 74sec
[i] iter : 8150, loss : 7.8462, focal_loss : 0.3386, giou_loss : 0.1857, l2_reg_loss : 7.3219, train_time : 74sec
[i] iter : 8200, loss : 7.8057, focal_loss : 0.3175, giou_loss : 0.1827, l2_reg_loss : 7.3055, train_time : 74sec
[i] iter : 8250, loss : 7.7780, focal_loss : 0.3055, giou_loss : 0.1835, l2_reg_loss : 7.2889, train_time : 74sec
[i] iter : 8300, loss : 7.7833, focal_loss : 0.3237, giou_loss : 0.1873, l2_reg_loss : 7.2723, train_time : 74sec
[i] iter : 8350, loss : 7.7539, focal_loss : 0.3159, giou_loss : 0.1822, l2_reg_loss : 7.2557, train_time : 75sec
[i] iter : 8400, loss : 7.7267, focal_loss : 0.3057, giou_loss : 0.1818, l2_reg_loss : 7.2392, train_time : 74sec
[i] iter : 8450, loss : 7.7185, focal_loss : 0.3140, giou_loss : 0.1818, l2_reg_loss : 7.2227, train_time : 74sec
[i] iter : 8500, loss : 7.6873, focal_loss : 0.3000, giou_loss : 0.1811, l2_reg_loss : 7.2062, train_time : 74sec
[i] iter : 8550, loss : 7.6839, focal_loss : 0.3090, giou_loss : 0.1848, l2_reg_loss : 7.1901, train_time : 74sec
